title,current_price,former_price,discount
"Hp CHROMEBOOK, INTEL CELERON, 4GB RAM,32GB EMMC WINS 10+USB Light For Keyboard",130000,200900,38%
"DELL LATITUDE 7400, INTEL CORE I5 8365U,8GB RAM,256GB SSD, BACKLIT KB TOUCHSCREEN,WIN 11+MOUSE",450000,310000,52%
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Pro  +BAG,485000,678000,19%
DELL Latitude 3189 X360 INTEL PENTIUM 256GB SSD 4GB WIN 10 Pro+pouch,190000,200000,38%
Hp Stream 11 Intel Celeron D/C  4GB RAM- 64GB HDD WIN 10 +USB LIGHT FOR KEYBORD,125000,540500,11%
Hp EliteBook 840 G6 Touchscreen Intel Core I5 Backlit Keyboard 16GB RAM/256 SSD Win 11 Pro,455000,300000,20%
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 8GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD,385000,190500,35%
Hp Notebook 14 AMD RYZEN 3- 12GB RAM - 1TB HDD- 2.6GHz - 3.5GHz Windows 10 Pro,325000,150000,10%
Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro,505950,1780000,7%
Hp Stream11intel Celeron D/C 64GB HDD+4GB RAM+pouch Win10,124000,950000,35%
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,465000,1750000,6%
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,465000,359990,15%
Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10,120000,260000,48%
"DELL Latitude 3190, INTEL CELERON, 4GB RAM, 128ssd, WINDOWS 10 + FLASH LIGHT",290000,550000,8%
Hp EliteBook 840 G6 Intel Core I5  Touchscreen 16GB RAM/512GB SSD Win 11 Pro+ Mouse,485800,650000,25%
"Hp 14 Intel Celeron, 64GB, 4GB, Windows 11 In S Mode",185000,550000,15%
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,240000,260000,23%
Hp Probook 11 G7 X360 Touchscreen Intel Pentium 8GB DDR4 RAM 256GB SSD WIN 10 + Keyboard Flashlight,300000,29870,30%
DELL Latitude 3450 Core I3 ITB HDD 8GB RAM Wins 10 + Bag,220000,550000,15%
"Hp Stream 11 2GB, 32GB SSD +32gb Flash,USB LED LIGHT",105000,1420000,7%
Hp ELITEBOOK 830 G7 TOUCH SCREEN INTEL CORE I7 512SSD 16GB RAM BACKLIT KEYBOARD WINDOWS 11PRO,701000,17000,1%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit,505000,400000,40%
"DELL CHROMEBOOK 11, 4GB RAM, 16GB SSD + 32GBFLASH",140000,1200000,55%
Ace Elec ACE 15.6'' Intel Celeron N5095A 4Core CPU 16GB+512GB Laptop Black,339000,2000000,10%
"DELL LATITUDE 3190 2in1 X360 INTEL PENTIUM,TOUCHSCREEN 8GB RAM,128GB SSD WIN 11 + Light",210000,800000,37%
"Hp CHROMEBOOK 11 , INTEL CELERON, 4GB RAM,32GB SSD With  Window 10+USB Ligh For Keyboard T",100000,180000,17%
Hp EliteBook 840 G5 Intel Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,445000,1376,50%
Hp Stream 11 Intel Celeron 4GB RAM 32GB Windows 10+32GB Flash,125000,540900,12%
DELL Latitude 7490 TOUCHSCREEN Intel Core I7- 1TB SSD/16GB RAM BACKLIGHT KEYBOARD/WIN 11PRO+BAG,750000,11800,15%
Hp Probook 11X360 Touchsceen Intel Celeron64gb Ssd /4gb Ram+32GB Flash Mouse,145000,950000,55%
Hp Stream 11 Pro Intel Celeron 2GB RAM- 32GB HDD WIN 10+ BAG,105000,258000,22%
Hp Stream 11 Intel Celeron 4GB RAM- 64GB SSD WIN 10+ USB LIGHT FOR KEYBOARD & MOUSE,130000,180000,28%
Hp Stream 11 Intel Celeron D/C  4GB RAM- 64GB HDD WIN 10 +USB LIGHT FOR KEYBORD&MOUSE,125000,400000,45%
Lenovo Ideapad  Intel Celeron 256 SSD 4GB RAM Win 10 PRO + BAG,308950,350900,17%
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse &USB Light For Keyboard,150000,494000,74%
DELL Latitude 3189 X360 INTEL PENTIUM 512GB SSD 4GB Touchscreen 10 Pro+pouch,200000,550000,8%
Hp EliteBook X360 830 G6 TOUCHSCREEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard/Windows 11 Pro+ BAG,550000,590000,24%
"DELL CHROMEBOOK 11, 4GB RAM, 16GB SSD + 32GBFLASH",125000,650000,15%
"Hp ProBook 11 X360 Intel Pentium 4GB,128GB 11.6 Touchscreen WIN10 Pro",170000,1220000,6%
"Asus Notebook 10th Gen, Intel Core I3 12GB RAM 512GB HDD, 2.1GHz Up To 4.1GHz 15.6"" Wins 11",481000,99999,24%
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,240000,500000,1%
Hp Stream 11 Intel Celeron D/C  4GB RAM- 64GB HDD WIN 10,123000,1350000,4%
Hp Stream 11 Intel Celeron Quad Core - 64GB SSD 4GB RAM Windows 10 PRO + USB Light For Keyboard,135000,1190000,13%
Lenovo ThinkPad X1 Carbon G9 Touchscreen 11th Gen Intel Core I7-16GB Ram-512GB SSD-WIN 10 PRO,1658000,630000,10%
Hp EliteBook 840 Intel Core I7- 16GB RAM/512 SSD-TOUCH & Backlit Keyboard/FP Reader Win11 Pro + BAG,620000,300000,20%
